player_id,name,team,batting_style,bowling_style,playing_role,batting_runs,total_balls,total_fours,total_sixes,matches_played,total_overs,total_wickets,bowling_runs,total_maidens,total_wides,total_noballs,batting_strike_rate,bowling_economy,player_rating
118,Mohammad Rizwan†,Pakistan,Right hand Bat,,Wicketkeeper Batter,175.0,160.0,15.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,109.375,0.0,94.25
119,Babar Azam(c),Pakistan,Right hand Bat,Right arm Offbreak,Batter,124.0,133.0,13.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,93.23308270676691,0.0,83.79323308270676
120,Shan Masood,Pakistan,Left hand Bat,Right arm Medium fast,Opening Batter,175.0,148.0,12.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,118.24324324324324,0.0,94.29729729729729
121,Iftikhar Ahmed,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter,114.0,93.0,6.0,6.0,7.0,3.5,1.0,28.0,0.0,0.0,0.0,122.58064516129032,8.0,96.83225806451614
122,Shadab Khan,Pakistan,Right hand Bat,Legbreak,Allrounder,98.0,58.0,7.0,5.0,6.0,26.0,11.0,165.0,0.0,0.0,0.0,168.9655172413793,6.346153846153846,135.5477453580902
123,Haider Ali,Pakistan,Right hand Bat,,Middle order Batter,2.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,56.0
124,Mohammad Nawaz,Pakistan,Left hand Bat,Slow Left arm Orthodox,Allrounder,68.0,64.0,7.0,2.0,5.0,9.0,3.0,67.0,0.0,2.0,1.0,106.25,7.444444444444445,91.02222222222223
125,Asif Ali,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666666,0.0,66.66666666666666
126,Shaheen Shah Afridi,Pakistan,Left hand Bat,Left arm Fast,Bowler,22.0,12.0,2.0,1.0,3.0,25.1,11.0,155.0,0.0,2.0,0.0,183.33333333333331,6.175298804780876,134.86321381142096
127,Haris Rauf,Pakistan,Right hand Bat,Right arm Fast,Bowler,10.0,7.0,0.0,1.0,3.0,26.0,8.0,178.0,1.0,3.0,0.0,142.85714285714286,6.846153846153846,111.4043956043956
128,KL Rahul,India,Right hand Bat,,Opening Batter,128.0,106.0,8.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,120.75471698113208,0.0,100.30188679245283
