player_id,name,team,playing_role,batting_runs,total_balls,total_fours,total_sixes,matches_played,total_overs,total_wickets,bowling_runs,total_maidens,total_wides,total_noballs
131,Suryakumar Yadav,India,Batter,239.0,126.0,26.0,9.0,6.0,,,,,,
132,Axar Patel,India,Bowling Allrounder,9.0,9.0,1.0,0.0,3.0,13.2,3.0,115.0,0.0,0.0,0.0
133,Hardik Pandya,India,Allrounder,128.0,97.0,7.0,7.0,5.0,18.0,8.0,146.0,0.0,3.0,1.0
134,Dinesh Karthik†,India,Wicketkeeper Batter,14.0,22.0,1.0,0.0,3.0,,,,,,
135,Ravichandran Ashwin,India,Bowling Allrounder,21.0,18.0,1.0,1.0,4.0,19.0,6.0,155.0,0.0,5.0,0.0
136,Bhuvneshwar Kumar,India,Bowler,4.0,6.0,0.0,0.0,1.0,18.4,4.0,115.0,3.0,5.0,0.0
137,Arshdeep Singh,India,Bowler,2.0,1.0,0.0,0.0,1.0,20.0,10.0,156.0,0.0,6.0,1.0
138,Mohammed Shami,India,Bowler,0.0,2.0,0.0,0.0,1.0,20.0,6.0,143.0,0.0,1.0,0.0
139,Naseem Shah,Pakistan,Bowler,5.0,3.0,0.0,0.0,1.0,26.0,3.0,162.0,0.0,4.0,0.0
140,Najmul Hossain Shanto,Bangladesh,Top order Batter,180.0,157.0,20.0,2.0,5.0,,,,,,
141,Soumya Sarkar,Bangladesh,Middle order Batter,49.0,39.0,3.0,3.0,4.0,3.0,1.0,29.0,0.0,1.0,0.0
142,Litton Das,Bangladesh,Wicketkeeper Batter,127.0,89.0,11.0,5.0,5.0,,,,,,
143,Shakib Al Hasan(c),Bangladesh,Allrounder,44.0,46.0,3.0,0.0,5.0,,,,,,
144,Afif Hossain,Bangladesh,Allrounder,95.0,76.0,6.0,3.0,5.0,1.0,1.0,11.0,0.0,0.0,0.0
145,Yasir Ali,Bangladesh,Middle order Batter,5.0,9.0,0.0,0.0,3.0,,,,,,
146,Nurul Hasan†,Bangladesh,Wicketkeeper Batter,41.0,42.0,2.0,1.0,5.0,,,,,,
