player_id,name,team,playing_role,performance_type,matches_played,batting_runs,total_balls,total_fours,total_sixes,batting_average,strike_rate,total_overs,total_wickets,bowling_runs,total_maidens,total_wides,total_noballs,bowling_average,economy_rate,bowling_strike_rate
174,Finn Allen,New Zealand,Top order Batter,Batsman,5.0,95.0,51.0,11.0,5.0,19.0,186.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,Devon Conway,New Zealand,Wicketkeeper Batter,Batsman,5.0,145.0,124.0,12.0,2.0,29.0,116.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,Kane Williamson,New Zealand,Top order Batter,Batsman,5.0,178.0,153.0,11.0,5.0,35.6,116.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,Glenn Phillips,New Zealand,Wicketkeeper Batter,Batsman,5.0,201.0,127.0,19.0,8.0,40.2,158.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,James Neesham,New Zealand,Batting Allrounder,Batsman,5.0,53.0,37.0,2.0,2.0,10.6,143.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,Trent Boult,New Zealand,Bowler,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,148.0,0.0,3.0,0.0,18.5,7.4,15.0
183,Tim Southee,New Zealand,Bowler,Bowling All-rounder,2.0,5.0,3.0,1.0,0.0,2.5,166.67,17.2,7.0,114.0,1.0,3.0,0.0,16.29,6.63,14.74
184,Mitchell Santner,New Zealand,Bowling Allrounder,Bowling All-rounder,3.0,27.0,16.0,0.0,2.0,9.0,168.75,20.0,9.0,129.0,0.0,0.0,0.0,14.33,6.45,13.33
185,Lockie Ferguson,New Zealand,Bowler,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,7.0,159.0,0.0,4.0,1.0,22.71,8.37,16.29
186,Ish Sodhi,New Zealand,Bowler,Bowling All-rounder,2.0,7.0,7.0,0.0,0.0,3.5,100.0,19.2,6.0,130.0,0.0,3.0,0.0,21.67,6.77,19.2
191,Daryl Mitchell,New Zealand,Allrounder,Batsman,4.0,109.0,85.0,5.0,1.0,27.25,128.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Mohammad Rizwan,Pakistan,Wicketkeeper Batter,Batsman,7.0,175.0,160.0,15.0,3.0,25.0,109.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,Babar Azam,Pakistan,Batter,Batsman,7.0,124.0,133.0,13.0,0.0,17.71,93.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,Shan Masood,Pakistan,Opening Batter,Batsman,7.0,175.0,148.0,12.0,1.0,25.0,118.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,Iftikhar Ahmed,Pakistan,Middle order Batter,Batting All-rounder,7.0,114.0,93.0,6.0,6.0,16.29,122.58,3.5,1.0,28.0,0.0,0.0,0.0,28.0,8.0,21.0
122,Shadab Khan,Pakistan,Allrounder,Bowling All-rounder,6.0,98.0,58.0,7.0,5.0,16.33,168.97,26.0,11.0,165.0,0.0,0.0,0.0,15.0,6.35,14.18
123,Haider Ali,Pakistan,Middle order Batter,Batsman,2.0,2.0,5.0,0.0,0.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,Mohammad Nawaz,Pakistan,Allrounder,Bits and Pieces,5.0,68.0,64.0,7.0,2.0,13.6,106.25,9.0,3.0,67.0,0.0,2.0,1.0,22.33,7.44,18.0
125,Asif Ali,Pakistan,Middle order Batter,Batsman,1.0,2.0,3.0,0.0,0.0,2.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,Shaheen Shah Afridi,Pakistan,Bowler,Bowling All-rounder,3.0,22.0,12.0,2.0,1.0,7.33,183.33,25.1,11.0,155.0,0.0,2.0,0.0,14.09,6.18,13.69
127,Haris Rauf,Pakistan,Bowler,Bowling All-rounder,3.0,10.0,7.0,0.0,1.0,3.33,142.86,26.0,8.0,178.0,1.0,3.0,0.0,22.25,6.85,19.5
139,Naseem Shah,Pakistan,Bowler,Bits and Pieces,1.0,5.0,3.0,0.0,0.0,5.0,166.67,26.0,3.0,162.0,0.0,4.0,0.0,54.0,6.23,52.0
199,Mohammad Haris,Pakistan,Middle order Batter,Batsman,4.0,97.0,67.0,6.0,6.0,24.25,144.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,Mohammad Wasim,Pakistan,Allrounder,Bowling All-rounder,3.0,16.0,22.0,2.0,0.0,5.33,72.73,17.0,8.0,124.0,0.0,8.0,0.0,15.5,7.29,12.75
204,Fakhar Zaman,Pakistan,Opening Batter,Batsman,1.0,20.0,16.0,3.0,0.0,20.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,George Munsey,Scotland,Opening Batter,Batsman,3.0,121.0,106.0,16.0,0.0,40.33,114.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,Michael Jones,Scotland,Top order Batter,Batsman,3.0,110.0,77.0,10.0,4.0,36.67,142.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,Matthew Cross,Scotland,Wicketkeeper Batter,Batsman,3.0,32.0,33.0,5.0,0.0,10.67,96.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,Richie Berrington,Scotland,Top order Batter,Batsman,3.0,66.0,56.0,3.0,2.0,22.0,117.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,Calum MacLeod,Scotland,Top order Batter,Batsman,3.0,48.0,43.0,5.0,0.0,16.0,111.63,1.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0
